FirstName,LastName,Patronymic,DateOfBirth,MathScore,RussianScore,PhysicsScore
Cass,Abercromby,Dinse,04/02/1999,31,96,86
Austine,Ackenhead,Wiltsher,01/12/2001,31,65,4
Karie,Adame,Whichelow,07/03/2014,26,97,93
Matias,Aitken,Shasnan,09/01/1999,20,99,14
Marie,Alanbrooke,Pohling,05/06/2010,91,23,18
Keelby,Alben,Semper,09/08/2011,73,35,31
Blinny,Aldis,Haffenden,02/01/2013,53,95,90
Abran,Aleixo,Lesek,28/11/2015,78,92,1
Dannye,Alelsandrowicz,McKimmie,14/11/2000,58,84,43
Emmy,Alexsandrovich,Roches,13/06/2003,66,54,52
Devonne,Allcock,Rosenzwig,23/06/2020,100,96,43
Karon,Alldridge,Gurdon,17/06/2000,43,16,51
Redford,Allott,Drissell,08/11/2001,38,80,57
Humberto,Allridge,Bartelot,18/01/2003,66,18,41
Fitz,Alphege,Camolli,31/08/1999,74,81,61
Griffy,Amiranda,Fairebrother,04/07/2017,26,9,96
Giraud,Andreoletti,Goracci,18/12/2017,50,32,14
Kally,Anglish,Towsey,09/08/2008,14,54,44
Dolores,Anneslie,Drezzer,01/04/2016,64,60,14
Gui,Arderne,Yerborn,05/09/2019,36,88,22
Leonhard,Arnely,O'Cassidy,10/09/2011,80,13,68
Gerry,Aslet,Plumridege,07/07/2010,73,15,13
Alejoa,Atterbury,Girling,14/05/1998,99,3,78
Blinnie,Atteridge,Oglesbee,25/01/2021,39,39,79
Port,Attwool,Beacham,25/02/2004,32,58,19
Nikolia,Aubry,Blofield,28/09/2020,19,90,63
Kipp,Aulsford,Chill,11/10/2004,93,94,89
Addison,Aulton,Struis,31/05/2014,79,17,61
Donovan,Austick,Draysay,13/02/1999,69,17,39
Leonore,Auty,Warrick,28/09/2004,32,59,67
Sunny,Auty,Toor,13/06/1999,65,77,19
Rourke,Aven,Somner,15/01/2004,23,79,33
Hubie,Avramow,Suart,28/06/1997,41,12,27
Jonah,Aynsley,Ainslie,11/08/2008,2,21,99
Wilmar,Backen,Kirman,25/10/2007,0,2,57
Lanny,Baggallay,Cooke,30/07/2004,58,35,54
Grant,Baine,Petracco,11/02/2004,93,86,95
Christalle,Bains,Toulson,24/06/2001,70,60,99
Lanie,Balaisot,Snugg,13/10/1997,57,80,93
Chauncey,Baldrey,Gorioli,26/11/1997,6,20,95
Kelci,Balharrie,Henniger,07/12/2018,4,61,26
Alix,Balint,Rankcom,31/10/1999,4,13,7
Drusi,Balston,Hartman,10/01/2008,80,64,25
Elias,Banbridge,Tuffley,15/11/2019,2,7,20
Sophronia,Banbridge,Symcoxe,17/07/2015,11,62,70
Aime,Banbrigge,Martinovsky,18/04/2011,2,70,80
Doy,Banfill,Gorger,21/08/2002,55,29,98
Pepillo,Barbara,Camelli,11/11/2016,91,66,21
Curr,Barlee,Pearch,21/11/2002,52,38,71
Raven,Bartholomaus,Dowson,08/05/2019,78,28,18
Siobhan,Bartlam,Clever,19/12/2000,86,78,31
Roarke,Bartomeu,Stanger,19/04/2014,91,44,92
Webb,Barton,O'Dunniom,04/10/2005,77,44,24
Lissy,Bassingham,Tomaskov,19/03/2006,59,50,34
Archibald,Bastian,Lestrange,01/05/2007,20,32,92
Cory,Baswall,Spitaro,16/01/2017,100,35,77
Kathryne,Battell,Emes,20/09/2017,95,15,50
Blakelee,Battey,Izhak,06/06/2008,48,40,7
Dawna,Bauduin,Caulliere,04/04/2000,24,75,95
Seana,Bawdon,Saffill,07/10/2005,89,14,58
Marshal,Baxstar,Chidgey,06/03/2019,39,85,15
Roxi,Beacroft,Le Brun,18/07/1998,16,63,26
Roddy,Beaney,Malam,12/11/2002,31,43,69
Callie,Beaten,Mosconi,08/03/2007,8,21,59
Glynn,Beautyman,Seckington,24/12/2019,71,41,50
Margaret,Beaver,Massingham,21/11/2012,29,14,59
Hazel,Bedham,Handling,01/07/2019,0,64,80
Lucio,Beeckx,Stanger,17/08/2018,52,33,17
Mabelle,Beggi,Sallnow,06/09/2003,21,29,24
Pernell,Belch,Cran,21/05/2014,93,67,41
Leoine,Bellerby,Ragdale,25/08/2009,42,68,27
Myrtia,Bendon,Blais,12/01/2011,41,84,86
